date,Asset,Value
5/18/2019,ADA,0.08507
5/19/2019,ADA,0.088
5/20/2019,ADA,0.0869
5/21/2019,ADA,0.086
5/22/2019,ADA,0.08541
5/23/2019,ADA,0.08435
5/24/2019,ADA,0.08315
5/25/2019,ADA,0.0822
5/26/2019,ADA,0.08682
5/27/2019,ADA,0.09384
5/28/2019,ADA,0.09351
5/29/2019,ADA,0.09362
5/30/2019,ADA,0.0968
5/31/2019,ADA,0.08983
6/1/2019,ADA,0.0927
6/2/2019,ADA,0.09755
6/3/2019,ADA,0.09833
6/4/2019,ADA,0.08832
6/5/2019,ADA,0.08431
6/6/2019,ADA,0.08385
6/7/2019,ADA,0.08702
6/8/2019,ADA,0.08622
6/9/2019,ADA,0.08385
6/10/2019,ADA,0.08529
6/11/2019,ADA,0.08913
6/12/2019,ADA,0.09628
6/13/2019,ADA,0.0966
6/14/2019,ADA,0.09095
6/15/2019,ADA,0.0926
6/16/2019,ADA,0.09402
6/17/2019,ADA,0.09365
6/18/2019,ADA,0.09365
6/19/2019,ADA,0.09158
6/20/2019,ADA,0.0903
6/21/2019,ADA,0.0908
6/22/2019,ADA,0.0977
6/23/2019,ADA,0.10379
6/24/2019,ADA,0.09959
6/25/2019,ADA,0.09831
6/26/2019,ADA,0.10687
6/27/2019,ADA,0.09954
6/28/2019,ADA,0.089
6/29/2019,ADA,0.09095
6/30/2019,ADA,0.09077
7/1/2019,ADA,0.08599
7/2/2019,ADA,0.08432
7/3/2019,ADA,0.08315
7/4/2019,ADA,0.08249
7/5/2019,ADA,0.07814
7/6/2019,ADA,0.08076
7/7/2019,ADA,0.08004
7/8/2019,ADA,0.08193
7/9/2019,ADA,0.08073
7/10/2019,ADA,0.07835
7/11/2019,ADA,0.0717
7/12/2019,ADA,0.07057
7/13/2019,ADA,0.07149
7/14/2019,ADA,0.0671
7/15/2019,ADA,0.06015
7/16/2019,ADA,0.06095
7/17/2019,ADA,0.05777
7/18/2019,ADA,0.05965
7/19/2019,ADA,0.06068
7/20/2019,ADA,0.06509
7/21/2019,ADA,0.064
7/22/2019,ADA,0.06216
7/23/2019,ADA,0.0596
7/24/2019,ADA,0.05904
7/25/2019,ADA,0.06069
7/26/2019,ADA,0.06297
7/27/2019,ADA,0.06354
7/28/2019,ADA,0.06018
7/29/2019,ADA,0.06258
7/30/2019,ADA,0.06141
7/31/2019,ADA,0.06108
8/1/2019,ADA,0.06035
8/2/2019,ADA,0.05882
8/3/2019,ADA,0.0583
8/4/2019,ADA,0.0583
8/5/2019,ADA,0.0582
8/6/2019,ADA,0.05657
8/7/2019,ADA,0.0543
8/8/2019,ADA,0.05326
8/9/2019,ADA,0.05231
8/10/2019,ADA,0.05347
8/11/2019,ADA,0.056
8/12/2019,ADA,0.05491
8/13/2019,ADA,0.05328
8/14/2019,ADA,0.05382
8/15/2019,ADA,0.04821
8/16/2019,ADA,0.04759
8/17/2019,ADA,0.04808
8/18/2019,ADA,0.05127
8/19/2019,ADA,0.05084
8/20/2019,ADA,0.0503
8/21/2019,ADA,0.04919
8/22/2019,ADA,0.0512
8/23/2019,ADA,0.0503
8/24/2019,ADA,0.0515
8/25/2019,ADA,0.05265
8/26/2019,ADA,0.05082
8/27/2019,ADA,0.04999
8/28/2019,ADA,0.05041
8/29/2019,ADA,0.04587
8/30/2019,ADA,0.04578
8/31/2019,ADA,0.04546
9/1/2019,ADA,0.04519
9/2/2019,ADA,0.04626
9/3/2019,ADA,0.04744
9/4/2019,ADA,0.04668
9/5/2019,ADA,0.04543
9/6/2019,ADA,0.0447
9/7/2019,ADA,0.04659
9/8/2019,ADA,0.0475
9/9/2019,ADA,0.04727
9/10/2019,ADA,0.04814
9/11/2019,ADA,0.04713
9/12/2019,ADA,0.04629
9/13/2019,ADA,0.04594
9/14/2019,ADA,0.0471
9/15/2019,ADA,0.04711
9/16/2019,ADA,0.04749
9/17/2019,ADA,0.05072
9/18/2019,ADA,0.05557
9/19/2019,ADA,0.05456
9/20/2019,ADA,0.05258
9/21/2019,ADA,0.05336
9/22/2019,ADA,0.0519
9/23/2019,ADA,0.04945
9/24/2019,ADA,0.04659
9/25/2019,ADA,0.04031
9/26/2019,ADA,0.04014
9/27/2019,ADA,0.0398
9/28/2019,ADA,0.03957
9/29/2019,ADA,0.0388
9/30/2019,ADA,0.03946
10/1/2019,ADA,0.03995
10/2/2019,ADA,0.03945
10/3/2019,ADA,0.03959
10/4/2019,ADA,0.04023
10/5/2019,ADA,0.03977
10/6/2019,ADA,0.03999
10/7/2019,ADA,0.04186
10/8/2019,ADA,0.04217
10/9/2019,ADA,0.04345
10/10/2019,ADA,0.04262
10/11/2019,ADA,0.04239
10/12/2019,ADA,0.04093
10/13/2019,ADA,0.04172
10/14/2019,ADA,0.04205
10/15/2019,ADA,0.04191
10/16/2019,ADA,0.03988
10/17/2019,ADA,0.03947
10/18/2019,ADA,0.03951
10/19/2019,ADA,0.03959
10/20/2019,ADA,0.0395
10/21/2019,ADA,0.03949
10/22/2019,ADA,0.03998
10/23/2019,ADA,0.0388
10/24/2019,ADA,0.03796
10/25/2019,ADA,0.04202
10/26/2019,ADA,0.04329
10/27/2019,ADA,0.04342
10/28/2019,ADA,0.04492
