date,Asset,Value
11/7/2017,AMC,12.3
11/8/2017,AMC,11.8
11/9/2017,AMC,11.4
11/10/2017,AMC,11
11/13/2017,AMC,11.65
11/14/2017,AMC,12.2
11/15/2017,AMC,12.55
11/16/2017,AMC,12.45
11/17/2017,AMC,12.95
11/20/2017,AMC,12.75
11/21/2017,AMC,12.7
11/22/2017,AMC,13.2
11/24/2017,AMC,13.85
11/27/2017,AMC,14.9
11/28/2017,AMC,16.15
11/29/2017,AMC,15.4
11/30/2017,AMC,14.25
12/1/2017,AMC,14
12/4/2017,AMC,14.3
12/5/2017,AMC,14.45
12/6/2017,AMC,14.25
12/7/2017,AMC,14.35
12/8/2017,AMC,14.65
12/11/2017,AMC,15.25
12/12/2017,AMC,15.25
12/13/2017,AMC,15.15
12/14/2017,AMC,15.8
12/15/2017,AMC,15.1
12/18/2017,AMC,15.25
12/19/2017,AMC,15.25
12/20/2017,AMC,14.85
12/21/2017,AMC,15.4
12/22/2017,AMC,14.9
12/26/2017,AMC,14.4
12/27/2017,AMC,14.1
12/28/2017,AMC,14.85
12/29/2017,AMC,15.1
1/2/2018,AMC,15.4
1/3/2018,AMC,15
1/4/2018,AMC,14.45
1/5/2018,AMC,14.1
1/8/2018,AMC,13.8
1/9/2018,AMC,13.9
1/10/2018,AMC,13.95
1/11/2018,AMC,14.1
1/12/2018,AMC,14.45
1/16/2018,AMC,13.65
1/17/2018,AMC,13.75
1/18/2018,AMC,13.4
1/19/2018,AMC,13.2
1/22/2018,AMC,13.25
1/23/2018,AMC,13.4
1/24/2018,AMC,13.2
1/25/2018,AMC,13.15
1/26/2018,AMC,12.85
1/29/2018,AMC,12.85
1/30/2018,AMC,12.6
1/31/2018,AMC,12.8
2/1/2018,AMC,13.5
2/2/2018,AMC,13.95
2/5/2018,AMC,13.35
2/6/2018,AMC,13.75
2/7/2018,AMC,14.2
2/8/2018,AMC,13.75
2/9/2018,AMC,13.45
2/12/2018,AMC,13.9
2/13/2018,AMC,13.85
2/14/2018,AMC,14.25
2/15/2018,AMC,14.65
2/16/2018,AMC,14.4
2/20/2018,AMC,14.5
2/21/2018,AMC,14.4
2/22/2018,AMC,14.3
2/23/2018,AMC,14.85
2/26/2018,AMC,15.45
2/27/2018,AMC,15.75
2/28/2018,AMC,15
3/1/2018,AMC,14.75
3/2/2018,AMC,15.75
3/5/2018,AMC,15.75
3/6/2018,AMC,15.95
3/7/2018,AMC,15.7
3/8/2018,AMC,15.55
3/9/2018,AMC,15.7
3/12/2018,AMC,15.65
3/13/2018,AMC,14.75
3/14/2018,AMC,15.05
3/15/2018,AMC,14.75
3/16/2018,AMC,14.2
3/19/2018,AMC,14.15
3/20/2018,AMC,14.05
3/21/2018,AMC,14.15
3/22/2018,AMC,13.8
3/23/2018,AMC,13.9
3/26/2018,AMC,13.95
3/27/2018,AMC,13.6
3/28/2018,AMC,13.5
3/29/2018,AMC,14.05
4/2/2018,AMC,14.15
4/3/2018,AMC,15.25
4/4/2018,AMC,15.4
4/5/2018,AMC,16.35
