Date,SubCount
5/15/2013 20:00,2529
5/16/2013 20:00,2530
5/17/2013 20:00,2533
5/18/2013 20:00,2537
5/19/2013 20:00,2544
5/20/2013 20:00,2551
5/21/2013 20:00,2556
5/22/2013 20:00,2559
5/23/2013 20:00,2565
5/24/2013 20:00,2566
5/25/2013 20:00,2566
5/26/2013 20:00,2572
5/27/2013 20:00,2578
5/28/2013 20:00,2657
5/29/2013 20:00,2684
5/30/2013 20:00,2712
5/31/2013 20:00,2781
6/1/2013 20:00,2785
6/2/2013 20:00,2801
6/3/2013 20:00,2832
6/4/2013 20:00,2835
6/5/2013 20:00,2840
6/6/2013 20:00,2846
6/7/2013 20:00,2848
6/8/2013 20:00,2852
6/9/2013 20:00,2854
6/10/2013 20:00,2889
6/11/2013 20:00,2897
6/12/2013 20:00,2902
6/13/2013 20:00,2905
6/14/2013 20:00,2907
6/15/2013 20:00,2908
6/16/2013 20:00,2912
6/17/2013 20:00,2915
6/18/2013 20:00,2918
6/19/2013 20:00,2919
6/20/2013 20:00,2923
6/21/2013 20:00,2924
6/22/2013 20:00,2927
6/23/2013 20:00,2931
6/24/2013 20:00,2933
6/25/2013 20:00,2938
6/26/2013 20:00,2940
6/27/2013 20:00,2941
6/28/2013 20:00,2940
6/29/2013 20:00,2942
6/30/2013 20:00,2943
7/1/2013 20:00,2948
7/2/2013 20:00,2948
7/3/2013 20:00,2949
7/4/2013 20:00,2952
7/5/2013 20:00,2951
7/6/2013 20:00,2952
7/7/2013 20:00,2956
7/8/2013 20:00,2962
7/9/2013 20:00,2972
7/10/2013 20:00,2976
7/11/2013 20:00,2978
7/12/2013 20:00,2980
7/13/2013 20:00,2978
7/14/2013 20:00,2979
7/15/2013 20:00,2978
7/16/2013 20:00,2982
7/17/2013 20:00,3013
7/18/2013 20:00,3034
7/19/2013 20:00,3039
7/20/2013 20:00,3043
7/21/2013 20:00,3050
7/22/2013 20:00,3051
7/23/2013 20:00,3060
7/24/2013 20:00,3068
7/25/2013 20:00,3087
7/26/2013 20:00,3090
7/27/2013 20:00,3093
7/28/2013 20:00,3096
7/29/2013 20:00,3096
7/30/2013 20:00,3101
7/31/2013 20:00,3105
8/1/2013 20:00,3121
8/2/2013 20:00,3125
8/3/2013 20:00,3123
8/4/2013 20:00,3135
8/5/2013 20:00,3142
8/6/2013 20:00,3148
8/7/2013 20:00,3152
8/8/2013 20:00,3157
8/9/2013 20:00,3155
8/10/2013 20:00,3159
8/11/2013 20:00,3160
8/12/2013 20:00,3163
8/13/2013 20:00,3170
8/14/2013 20:00,3176
8/15/2013 20:00,3176
8/16/2013 20:00,3176
8/17/2013 20:00,3178
8/18/2013 20:00,3183
8/19/2013 20:00,3185
8/20/2013 20:00,3187
8/21/2013 20:00,3187
8/22/2013 20:00,3186
8/23/2013 20:00,3193
8/24/2013 20:00,3196
8/25/2013 20:00,3200
8/26/2013 20:00,3204
8/27/2013 20:00,3211
8/28/2013 20:00,3214
8/29/2013 20:00,3238
8/30/2013 20:00,3247
8/31/2013 20:00,3250
9/1/2013 20:00,3257
9/2/2013 20:00,3260
9/3/2013 20:00,3267
9/4/2013 20:00,3274
9/5/2013 20:00,3276
9/6/2013 20:00,3276
9/7/2013 20:00,3280
9/8/2013 20:00,3281
9/9/2013 20:00,3283
9/10/2013 20:00,3286
9/11/2013 20:00,3287
9/12/2013 20:00,3291
9/13/2013 20:00,3294
9/14/2013 20:00,3297
9/15/2013 20:00,3300
9/16/2013 20:00,3303
9/17/2013 20:00,3308
9/18/2013 20:00,3312
9/19/2013 20:00,3314
9/20/2013 20:00,3316
9/21/2013 20:00,3319
9/22/2013 20:00,3322
9/23/2013 20:00,3326
9/24/2013 20:00,3336
9/25/2013 20:00,3339
9/26/2013 20:00,3346
9/27/2013 20:00,3347
9/28/2013 20:00,3353
9/29/2013 20:00,3353
9/30/2013 20:00,3397
10/1/2013 20:00,3411
10/2/2013 20:00,3412
10/3/2013 20:00,3411
10/4/2013 20:00,3413
10/5/2013 20:00,3415
10/6/2013 20:00,3419
10/7/2013 20:00,3422
10/8/2013 20:00,3424
10/9/2013 20:00,3424
10/10/2013 20:00,3425
10/11/2013 20:00,3424
10/12/2013 20:00,3425
10/13/2013 20:00,3429
10/14/2013 20:00,3431
10/15/2013 20:00,3448
10/16/2013 20:00,3455
10/17/2013 20:00,3459
10/18/2013 20:00,3462
10/19/2013 20:00,3473
10/20/2013 20:00,3479
10/21/2013 20:00,3483
10/22/2013 20:00,3485
10/23/2013 20:00,3495
10/24/2013 20:00,3510
10/25/2013 20:00,3511
10/26/2013 20:00,3533
10/27/2013 20:00,3559
10/28/2013 20:00,3564
10/29/2013 20:00,3572
10/30/2013 20:00,3598
10/31/2013 20:00,3616
11/1/2013 20:00,3621
11/2/2013 20:00,3625
11/3/2013 19:00,3641
11/4/2013 19:00,3646
11/5/2013 19:00,3650
11/6/2013 19:00,3655
11/7/2013 19:00,3664
11/8/2013 19:00,3663
11/9/2013 19:00,3668
11/10/2013 19:00,3670
11/11/2013 19:00,3674
11/12/2013 19:00,3689
11/13/2013 19:00,3706
11/14/2013 19:00,3711
11/15/2013 19:00,3717
11/16/2013 19:00,3718
11/17/2013 19:00,3727
11/18/2013 19:00,3734
11/19/2013 19:00,3755
11/20/2013 19:00,3771
11/21/2013 19:00,3780
11/22/2013 19:00,3784
11/23/2013 19:00,3791
11/24/2013 19:00,3798
11/25/2013 19:00,3823
11/26/2013 19:00,3842
11/27/2013 19:00,3861
11/28/2013 19:00,3866
11/29/2013 19:00,3873
11/30/2013 19:00,3883
12/1/2013 19:00,3891
12/2/2013 19:00,3905
12/3/2013 19:00,3923
12/4/2013 19:00,3934
12/5/2013 19:00,3936
12/6/2013 19:00,3937
12/7/2013 19:00,3939
12/8/2013 19:00,3949
12/9/2013 19:00,3949
12/10/2013 19:00,3951
12/11/2013 19:00,3959
12/12/2013 19:00,3964
12/13/2013 19:00,3966
12/14/2013 19:00,3970
12/15/2013 19:00,3998
12/16/2013 19:00,4002
12/17/2013 19:00,4007
12/18/2013 19:00,4020
12/19/2013 19:00,4057
12/20/2013 19:00,4064
12/21/2013 19:00,4083
12/22/2013 19:00,4092
12/23/2013 19:00,4095
12/24/2013 19:00,4101
12/25/2013 19:00,4118
12/26/2013 19:00,4124
12/27/2013 19:00,4131
12/28/2013 19:00,4142
12/29/2013 19:00,4151
12/30/2013 19:00,4158
12/31/2013 19:00,4168
1/1/2014 19:00,4177
1/2/2014 19:00,4186
1/3/2014 19:00,4198
1/4/2014 19:00,4208
1/5/2014 19:00,4218
1/6/2014 19:00,4234
1/7/2014 19:00,4244
1/8/2014 19:00,4271
1/9/2014 19:00,4285
1/10/2014 19:00,4285
1/11/2014 19:00,4292
1/12/2014 19:00,4309
1/13/2014 19:00,4320
1/14/2014 19:00,4337
1/15/2014 19:00,4347
1/16/2014 19:00,4359
1/17/2014 19:00,4373
1/18/2014 19:00,4395
1/19/2014 19:00,4428
1/20/2014 19:00,4483
1/21/2014 19:00,4539
1/22/2014 19:00,4560
1/23/2014 19:00,4585
1/24/2014 19:00,4609
1/25/2014 19:00,4625
1/26/2014 19:00,4643
1/27/2014 19:00,4677
1/28/2014 19:00,4713
1/29/2014 19:00,4779
1/30/2014 19:00,4798
1/31/2014 19:00,4816
2/1/2014 19:00,4830
2/2/2014 19:00,4868
2/3/2014 19:00,4881
2/4/2014 19:00,4891
2/5/2014 19:00,5071
2/6/2014 19:00,5104
2/7/2014 19:00,5290
2/8/2014 19:00,5380
2/9/2014 19:00,5412
2/10/2014 19:00,5463
2/11/2014 19:00,5506
2/12/2014 19:00,5518
2/13/2014 19:00,5524
2/14/2014 19:00,5536
2/15/2014 19:00,5549
2/16/2014 19:00,5567
2/17/2014 19:00,5575
2/18/2014 19:00,5593
2/19/2014 19:00,5604
2/20/2014 19:00,5620
2/21/2014 19:00,5621
2/22/2014 19:00,5626
2/23/2014 19:00,5637
2/24/2014 19:00,5647
2/25/2014 19:00,5668
2/26/2014 19:00,5675
2/27/2014 19:00,5686
2/28/2014 19:00,5692
3/1/2014 19:00,5704
3/2/2014 19:00,5706
3/3/2014 19:00,5733
3/4/2014 19:00,5753
3/5/2014 19:00,5782
3/6/2014 19:00,5798
3/7/2014 19:00,5821
3/8/2014 19:00,5830
3/9/2014 20:00,5839
3/10/2014 20:00,5856
3/11/2014 20:00,5868
3/12/2014 20:00,5877
3/13/2014 20:00,5908
3/14/2014 20:00,5915
3/15/2014 20:00,5926
3/16/2014 20:00,5938
3/17/2014 20:00,5948
3/18/2014 20:00,5971
3/19/2014 20:00,5982
3/20/2014 20:00,5990
3/21/2014 20:00,6002
3/22/2014 20:00,6010
3/23/2014 20:00,6024
3/24/2014 20:00,6033
3/25/2014 20:00,6041
3/26/2014 20:00,6047
3/27/2014 20:00,6059
3/28/2014 20:00,6064
3/29/2014 20:00,6071
3/30/2014 20:00,6080
3/31/2014 20:00,6085
4/1/2014 20:00,6092
4/2/2014 20:00,6095
4/3/2014 20:00,6095
4/4/2014 20:00,6098
4/5/2014 20:00,6100
4/6/2014 20:00,6110
4/7/2014 20:00,6121
4/8/2014 20:00,6121
4/9/2014 20:00,6129
4/10/2014 20:00,6136
4/11/2014 20:00,6136
4/12/2014 20:00,6144
4/13/2014 20:00,6151
4/14/2014 20:00,6163
4/15/2014 20:00,6172
4/16/2014 20:00,6186
4/17/2014 20:00,6198
4/18/2014 20:00,6203
4/19/2014 20:00,6218
4/20/2014 20:00,6223
4/21/2014 20:00,6221
4/22/2014 20:00,6250
4/23/2014 20:00,6259
4/24/2014 20:00,6268
4/25/2014 20:00,6273
4/26/2014 20:00,6282
4/27/2014 20:00,6286
4/28/2014 20:00,6292
4/29/2014 20:00,6296
4/30/2014 20:00,6301
5/1/2014 20:00,6304
5/2/2014 20:00,6310
5/3/2014 20:00,6311
5/4/2014 20:00,6317
5/5/2014 20:00,6318
5/6/2014 20:00,6322
5/7/2014 20:00,6328
5/8/2014 20:00,6330
5/9/2014 20:00,6330
5/10/2014 20:00,6330
5/11/2014 20:00,6335
5/12/2014 20:00,6340
5/13/2014 20:00,6347
5/14/2014 20:00,6350
5/15/2014 20:00,6360
5/16/2014 20:00,6366
5/17/2014 20:00,6367
5/18/2014 20:00,6381
5/19/2014 20:00,6457
5/20/2014 20:00,6471
5/21/2014 20:00,6480
5/22/2014 20:00,6489
5/23/2014 20:00,6496
5/24/2014 20:00,6500
5/25/2014 20:00,6503
5/26/2014 20:00,6502
5/27/2014 20:00,6507
5/28/2014 20:00,6516
5/29/2014 20:00,6519
5/30/2014 20:00,6523
5/31/2014 20:00,6525
6/1/2014 20:00,6527
6/2/2014 20:00,6529
6/3/2014 20:00,6531
6/4/2014 20:00,6535
6/5/2014 20:00,6537
6/6/2014 20:00,6540
6/7/2014 20:00,6556
6/8/2014 20:00,6560
6/9/2014 20:00,6564
6/10/2014 20:00,6570
6/11/2014 20:00,6576
6/12/2014 20:00,6586
6/13/2014 20:00,6586
6/14/2014 20:00,6587
6/15/2014 20:00,6589
6/16/2014 20:00,6592
6/17/2014 20:00,6595
6/18/2014 20:00,6598
6/19/2014 20:00,6601
6/20/2014 20:00,6601
6/21/2014 20:00,6604
6/22/2014 20:00,6608
6/23/2014 20:00,6611
6/24/2014 20:00,6614
6/25/2014 20:00,6640
6/26/2014 20:00,6645
6/27/2014 20:00,6650
6/28/2014 20:00,6654
6/29/2014 20:00,6660
6/30/2014 20:00,6663
7/1/2014 20:00,6673
7/2/2014 20:00,6686
7/3/2014 20:00,6694
7/4/2014 20:00,6700
7/5/2014 20:00,6701
7/6/2014 20:00,6702
7/7/2014 20:00,6708
7/8/2014 20:00,6716
7/9/2014 20:00,6725
7/10/2014 20:00,6728
7/11/2014 20:00,6731
7/12/2014 20:00,6731
7/13/2014 20:00,6740
7/14/2014 20:00,6745
7/15/2014 20:00,6748
7/16/2014 20:00,6756
7/17/2014 20:00,6755
7/18/2014 20:00,6768
7/19/2014 20:00,6823
7/20/2014 20:00,6863
7/21/2014 20:00,6868
7/22/2014 20:00,6881
7/23/2014 20:00,6889
7/24/2014 20:00,6889
7/25/2014 20:00,6890
7/26/2014 20:00,6893
7/27/2014 20:00,6906
7/28/2014 20:00,6894
7/29/2014 20:00,6897
7/30/2014 20:00,6895
7/31/2014 20:00,6900
8/1/2014 20:00,6906
8/2/2014 20:00,6910
8/3/2014 20:00,6910
8/4/2014 20:00,6913
8/5/2014 20:00,6917
8/6/2014 20:00,6925
8/7/2014 20:00,6929
8/8/2014 20:00,6933
8/9/2014 20:00,6937
8/10/2014 20:00,6935
8/11/2014 20:00,6938
8/12/2014 20:00,6941
8/13/2014 20:00,6939
8/14/2014 20:00,6941
8/15/2014 20:00,6942
8/16/2014 20:00,6951
8/17/2014 20:00,6964
8/18/2014 20:00,6967
8/19/2014 20:00,6969
8/20/2014 20:00,6972
8/21/2014 20:00,6977
8/22/2014 20:00,6979
8/23/2014 20:00,7049
8/24/2014 20:00,7079
8/25/2014 20:00,7086
8/26/2014 20:00,7091
8/27/2014 20:00,7108
8/28/2014 20:00,7122
8/29/2014 20:00,7129
8/30/2014 20:00,7135
8/31/2014 20:00,7138
9/1/2014 20:00,7142
9/2/2014 20:00,7154
9/3/2014 20:00,7179
9/4/2014 20:00,7193
9/5/2014 20:00,7201
9/6/2014 20:00,7207
9/7/2014 20:00,7228
9/8/2014 20:00,7235
9/9/2014 20:00,7254
9/10/2014 20:00,7262
9/11/2014 20:00,7267
9/12/2014 20:00,7266
9/13/2014 20:00,7271
9/14/2014 20:00,7279
9/15/2014 20:00,7288
9/16/2014 20:00,7291
9/17/2014 20:00,7296
9/18/2014 20:00,7300
9/19/2014 20:00,7307
9/20/2014 20:00,7315
9/21/2014 20:00,7321
9/22/2014 20:00,7327
9/23/2014 20:00,7334
9/24/2014 20:00,7338
9/25/2014 20:00,7346
9/26/2014 20:00,7350
9/27/2014 20:00,7352
9/28/2014 20:00,7360
9/29/2014 20:00,7365
9/30/2014 20:00,7374
10/1/2014 20:00,7377
10/2/2014 20:00,7383
10/3/2014 20:00,7387
10/4/2014 20:00,7390
10/5/2014 20:00,7395
10/6/2014 20:00,7394
10/7/2014 20:00,7404
10/8/2014 20:00,7433
10/9/2014 20:00,7437
10/10/2014 20:00,7437
10/11/2014 20:00,7442
10/12/2014 20:00,7452
10/13/2014 20:00,7457
10/14/2014 20:00,7466
10/15/2014 20:00,7505
10/16/2014 20:00,7541
10/17/2014 20:00,7707
10/18/2014 20:00,7720
10/19/2014 20:00,7753
10/20/2014 20:00,7781
10/21/2014 20:00,7817
10/22/2014 20:00,7836
10/23/2014 20:00,7862
10/24/2014 20:00,7891
10/25/2014 20:00,7900
10/26/2014 20:00,7911
10/27/2014 20:00,7927
10/28/2014 20:00,7936
10/29/2014 20:00,7942
10/30/2014 20:00,7945
10/31/2014 20:00,7953
11/1/2014 20:00,7969
11/2/2014 19:00,7978
11/3/2014 19:00,7987
11/4/2014 19:00,7995
11/5/2014 19:00,8006
11/6/2014 19:00,8026
11/7/2014 19:00,8035
11/8/2014 19:00,8041
11/9/2014 19:00,8047
11/10/2014 19:00,8062
11/11/2014 19:00,8066
11/12/2014 19:00,8069
11/13/2014 19:00,8076
11/14/2014 19:00,8079
11/15/2014 19:00,8089
11/16/2014 19:00,8107
11/17/2014 19:00,8120
11/18/2014 19:00,8126
11/19/2014 19:00,8135
11/20/2014 19:00,8140
11/21/2014 19:00,8149
11/22/2014 19:00,8154
11/23/2014 19:00,8168
11/24/2014 19:00,8181
11/25/2014 19:00,8202
11/26/2014 19:00,8207
11/27/2014 19:00,8210
11/28/2014 19:00,8215
11/29/2014 19:00,8223
11/30/2014 19:00,8232
12/1/2014 19:00,8250
12/2/2014 19:00,8265
12/3/2014 19:00,8278
12/4/2014 19:00,8285
12/5/2014 19:00,8287
12/6/2014 19:00,8298
12/7/2014 19:00,8303
12/8/2014 19:00,8310
12/9/2014 19:00,8312
12/10/2014 19:00,8320
12/11/2014 19:00,8321
12/12/2014 19:00,8324
12/13/2014 19:00,8440
12/14/2014 19:00,8495
12/15/2014 19:00,8525
12/16/2014 19:00,8543
12/17/2014 19:00,8550
12/18/2014 19:00,8554
12/19/2014 19:00,8558
12/20/2014 19:00,8569
12/21/2014 19:00,8576
12/22/2014 19:00,8579
12/23/2014 19:00,8583
12/24/2014 19:00,8585
12/25/2014 19:00,8616
12/26/2014 19:00,8627
12/27/2014 19:00,8637
12/28/2014 19:00,8651
12/29/2014 19:00,8669
12/30/2014 19:00,8679
12/31/2014 19:00,8686
1/1/2015 19:00,8696
1/2/2015 19:00,8716
1/3/2015 19:00,8739
1/4/2015 19:00,8751
1/5/2015 19:00,8770
1/6/2015 19:00,8780
1/7/2015 19:00,8782
1/8/2015 19:00,8783
1/9/2015 19:00,8799
1/10/2015 19:00,8809
1/11/2015 19:00,8830
1/12/2015 19:00,8843
1/13/2015 19:00,8850
1/14/2015 19:00,8914
1/15/2015 19:00,8950
1/16/2015 19:00,8956
1/17/2015 19:00,9017
1/18/2015 19:00,9036
1/19/2015 19:00,9121
1/20/2015 19:00,9161
1/21/2015 19:00,9186
1/22/2015 19:00,9195
1/23/2015 19:00,9202
1/24/2015 19:00,9211
1/25/2015 19:00,9236
1/26/2015 19:00,9320
1/27/2015 19:00,9356
1/28/2015 19:00,9373
1/29/2015 19:00,9389
1/30/2015 19:00,9399
1/31/2015 19:00,9412
2/1/2015 19:00,9425
2/2/2015 19:00,9431
2/3/2015 19:00,9444
2/4/2015 19:00,9470
2/5/2015 19:00,9487
2/6/2015 19:00,9496
2/7/2015 19:00,9514
2/8/2015 19:00,9526
2/9/2015 19:00,9537
2/10/2015 19:00,9559
2/11/2015 19:00,9579
2/12/2015 19:00,9648
2/13/2015 19:00,9695
2/14/2015 19:00,9722
2/15/2015 19:00,9746
2/16/2015 19:00,9762
2/17/2015 19:00,9783
2/18/2015 19:00,9794
2/19/2015 19:00,9806
2/20/2015 19:00,9818
2/21/2015 19:00,9842
2/22/2015 19:00,9859
2/23/2015 19:00,9872
2/24/2015 19:00,9885
2/25/2015 19:00,9891
2/26/2015 19:00,9902
2/27/2015 19:00,9902
2/28/2015 19:00,9918
3/1/2015 19:00,9927
3/2/2015 19:00,9952
3/3/2015 19:00,9970
3/4/2015 19:00,9993
3/5/2015 19:00,10009
3/6/2015 19:00,10029
3/7/2015 19:00,10037
3/8/2015 20:00,10046
3/9/2015 20:00,10060
3/10/2015 20:00,10276
3/11/2015 20:00,10331
3/12/2015 20:00,10351
3/13/2015 20:00,10435
3/14/2015 20:00,10456
3/15/2015 20:00,10496
3/16/2015 20:00,10503
3/17/2015 20:00,10514
3/18/2015 20:00,10535
3/19/2015 20:00,10534
3/20/2015 20:00,10539
3/21/2015 20:00,10568
3/22/2015 20:00,10633
3/23/2015 20:00,10645
3/24/2015 20:00,10657
3/25/2015 20:00,10668
3/26/2015 20:00,10685
3/27/2015 20:00,10691
3/28/2015 20:00,10700
3/29/2015 20:00,10721
3/30/2015 20:00,10738
3/31/2015 20:00,10760
4/1/2015 20:00,10771
4/2/2015 20:00,10785
4/3/2015 20:00,10792
4/4/2015 20:00,10845
4/5/2015 20:00,10858
4/6/2015 20:00,10875
4/7/2015 20:00,10893
4/8/2015 20:00,10908
4/9/2015 20:00,10969
4/10/2015 20:00,10986
4/11/2015 20:00,11002
4/12/2015 20:00,11020
4/13/2015 20:00,11035
4/14/2015 20:00,11056
4/15/2015 20:00,11072
4/16/2015 20:00,11079
4/17/2015 20:00,11091
4/18/2015 20:00,11101
4/19/2015 20:00,11125
4/20/2015 20:00,11156
4/21/2015 20:00,11173
4/22/2015 20:00,11203
4/23/2015 20:00,11210
4/24/2015 20:00,11225
4/25/2015 20:00,11236
4/26/2015 20:00,11654
4/27/2015 20:00,11839
4/28/2015 20:00,12344
4/29/2015 20:00,12432
4/30/2015 20:00,12433
5/1/2015 20:00,12465
5/2/2015 20:00,12477
5/3/2015 20:00,12490
5/4/2015 20:00,12531
5/5/2015 20:00,12581
5/6/2015 20:00,12631
5/7/2015 20:00,12656
5/8/2015 20:00,12672
5/9/2015 20:00,12698
5/10/2015 20:00,12726
5/11/2015 20:00,12767
5/12/2015 20:00,12795
5/13/2015 20:00,12829
5/14/2015 20:00,12832
5/15/2015 20:00,12850
5/16/2015 20:00,12869
5/17/2015 20:00,12886
5/18/2015 20:00,12913
5/19/2015 20:00,12954
5/20/2015 20:00,12994
5/21/2015 20:00,13001
5/22/2015 20:00,13010
5/23/2015 20:00,13024
5/24/2015 20:00,13039
5/25/2015 20:00,13052
5/26/2015 20:00,13070
5/27/2015 20:00,13116
5/28/2015 20:00,13135
5/29/2015 20:00,13152
5/30/2015 20:00,13224
5/31/2015 20:00,13265
6/1/2015 20:00,13310
6/2/2015 20:00,13366
6/3/2015 20:00,13389
6/4/2015 20:00,13396
6/5/2015 20:00,13410
6/6/2015 20:00,13453
6/7/2015 20:00,13472
6/8/2015 20:00,13514
6/9/2015 20:00,13616
6/10/2015 20:00,13670
6/11/2015 20:00,13686
6/12/2015 20:00,13696
6/13/2015 20:00,13700
6/14/2015 20:00,13716
6/15/2015 20:00,13733
6/16/2015 20:00,13769
6/17/2015 20:00,13788
6/18/2015 20:00,13799
6/19/2015 20:00,13807
6/20/2015 20:00,13847
6/21/2015 20:00,13867
6/22/2015 20:00,13913
6/23/2015 20:00,13935
6/24/2015 20:00,13962
6/25/2015 20:00,14014
6/26/2015 20:00,14046
6/27/2015 20:00,14085
6/28/2015 20:00,14176
6/29/2015 20:00,14217
6/30/2015 20:00,14254
7/1/2015 20:00,14277
7/2/2015 20:00,14296
7/3/2015 20:00,14310
7/4/2015 20:00,14330
7/5/2015 20:00,14385
7/6/2015 20:00,14435
7/7/2015 20:00,14486
7/8/2015 20:00,14597
7/9/2015 20:00,14674
7/10/2015 20:00,14705
7/11/2015 20:00,14738
7/12/2015 20:00,14792
7/13/2015 20:00,14873
7/14/2015 20:00,14942
7/15/2015 20:00,15026
7/16/2015 20:00,15073
7/17/2015 20:00,15104
